"review_text","review_status"
Where to start single oven with a huge capacity probably the biggest I've ever seen in a single oven you can get so much in this team feature is absolutely amazing and so much moisture two your food or you can simply just steam excellent piece of equipment the auto clean function is also very handy and works very well I can truly say the best oven I've ever owned I'm a great lover of the AEG brand and that is all I buy,Approved
disappointed that there isn't accurate temperature numbers in-between the normal (i50 200) otherwise good all rounder,Approved
f asdf adsf asd fasd fadsf asdf asdf asdf asdf asdf asdf asdf asdf,Approved
Google lsjdfi iddle widdle magnifiddle lsidfp kdkdk k,Approved
"Donec tincidunt sagittis lorem, in consectetur odio luctus et. Praesent ac magna vitae leo egestas sagittis vitae sed libero. Suspendisse nec libero dolor, at lobortis turpis! Aliquam eget lorem mattis leo sagittis condimentum. Mauris id nibh nec metus fermentum elementum. Aliquam libero purus, dignissim eu blandit eget, porta id sem. Fusce ut ligula sem. Phasellus ut mattis dui. Pellentesque luctus venenatis sem, quis sagittis magna lacinia sodales. Vivamus vel mi risus, id consequat sem metus.",Approved
This is a very good quality product with great features. It is very easy to use and I love the steam baking function - lovely crispy crackling!,Approved
"Vivamus suscipit fringilla lacinia. Cras ornare orci vel libero dictum malesuada. Donec iaculis neque nec justo pulvinar molestie. Sed vitae velit non nulla suscipit ullamcorper eu pretium erat. Duis sollicitudin, purus ut porta tempus, orci quam accumsan ante, vel elementum lectus tellus eget neque. Aliquam vel porta ligula. Nulla non pulvinar diam. Aenean at justo id odio auctor interdum eget ac nibh. Integer id nisl magna, eget faucibus sapien. Mauris molestie lectus at velit adipiscing amet.",Approved
This hob is solid and so far reliable.It cleans easily and the 5 hobs provide excellent and quick cooking for all types of pots and pans .Look forward to years of trouble free cooking.,Approved
This is a wonderful snowboard coat. It keeps me very warm!,Approved
"Phasellus dictum; orci facilisis bibendum auctor, arcu nulla bibendum sem, sed euismod erat orci et urna! Mauris vel dui sit amet mauris semper pharetra! Curabitur eu orci est, sit amet vestibulum mi. Cras vulputate tincidunt turpis, eu semper purus lacinia sed. Proin faucibus luctus ultricies. Vestibulum malesuada eleifend velit ac volutpat. Praesent posuere interdum dui, eget fringilla tortor gravida ac. Suspendisse nec turpis adipiscing lorem dapibus scelerisque. Vestibulum euismod cras amet.",Approved
Very easy to install in place of old halogen unit. Great features including the timer,Approved
"Wish I had forked out for a descent oven years ago, the time and money I've saved using the different programs with this oven is fantastic, especially love the self cleaning function",Approved
I absolutely love this machine and bought it on my mother in laws recommendation. The 20 minute wash cycle is my favourite feature as it refreshes clothes quickly and works a treat with my large family.,Approved
"Maecenas sagittis, nunc nec blandit volutpat, lacus dolor ornare lacus, tincidunt scelerisque dui metus quis orci. Pellentesque aliquam dolor sed est convallis aliquet. Ut id odio vitae nisl congue viverra. Integer libero ipsum; pulvinar eget scelerisque et, adipiscing quis orci. Vivamus et quam sagittis enim tincidunt vestibulum. Nullam vestibulum turpis nec nibh commodo eleifend. In eu nibh augue, congue tincidunt mi. Nunc eget egestas magna. Cras posuere convallis neque vehicula gravida amet.",Approved
dfgsjkl dha hdkf ashdklfj hasdkljfh asdklfh ajklhf ajkldhfjklas,Approved
"BVRRPhotoTipBoxutpat fringilla scelerisque sed; suscipit convallis dolor. Nullam viverra enim velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam consectetur urna sit amet augue pulvinar tincidunt. Vivamus convallis lobortis quam eu mollis. Vestibulum sit amet lorem dolor. Suspendisse dignissim eleifend suscipit. Aliquam sem ligula, porta a",Approved
"Vivamus accumsan rhoncus orci in accumsan. Pellentesque pharetra enim velit, vitae lobortis diam. Vivamus metus tellus, elementum in sodales sed, adipiscing sit amet velit. Ut lobortis adipiscing nibh vel tincidunt. Nullam feugiat dui non justo hendrerit ac pulvinar libero vehicula. Fusce tincidunt viverra nisl ac fermentum. Nullam tristique erat a eros elementum id vehicula arcu accumsan? Ut bibendum vestibulum consectetur. Phasellus odio orci, malesuada eu pellentesque eget, euismod ac nullam.",Approved
"We purchased the oven unit as a replacement for old unit which, to be fair, gave us 20 years of faultless service, after looking around several stores and looking at different manufacturers and models, we decided to try Zanussi.
good value, good looks and works well, knobs buttons and the like all operate well and are easy to use and understand.",Approved
"Bought to replace an old LG that flooded the kitchen.  I've tried a lot of the programs, and honestly I've got to say it's amazing.  It's so quiet and everything comes out well washed and amazingly clean.  Comparing this machine to all the other machines I've owned over the years.  Happy with the 5 year guarantee offered, and I hope to get a good 10+ years use from it, if other customers experiences of AEG are right.",Approved
the timer is fantastic and the catalytic layers inside are great.,Approved
"Maecenas gravida, erat eget sodales imperdiet, eros ipsum dapibus leo, id ornare erat nunc sit amet libero. Sed placerat pharetra odio. Vestibulum vitae laoreet neque. Curabitur ultricies; metus nec malesuada dictum, ipsum nisi iaculis orci, et suscipit neque quam a leo. Vestibulum iaculis justo elementum lorem luctus consectetur. Vivamus eros tellus, fermentum quis tincidunt ut, porta non diam. Nulla facilisi. Vivamus eget erat eu quam blandit rutrum. Nunc dapibus vulputate erat, eu massa nunc.",Approved
"Drum is large and the 8kg load limit is perfect for us. The machine itself is quiet and efficient. Controls take a little time to get to grips with, but easy enough if you use the included guides and instructions.",Approved
"Very pleased with our oven. We went for the very basic model, which has a 'good-enough' timer for our purposes and non of the fancy extras that we felt would just cause unnecessary complication. Our only problem is that the alarm on the timer is very quiet, and we're going to have to get an additional one that sticks on the side or something.",Approved
"In ac nunc id diam sagittis pretium nec non erat. Duis pulvinar dignissim dui ut auctor! Aliquam rutrum augue id ligula imperdiet ac gravida massa mollis. Suspendisse nec libero at nunc luctus tempor. Sed vitae rutrum orci. In sit amet est non arcu accumsan commodo? Curabitur bibendum, dui quis euismod adipiscing, ante elit molestie erat, semper dictum metus libero aliquet neque. Ut gravida libero eget enim accumsan lobortis mattis augue placerat. Maecenas feugiat accumsan fermentum. Donec amet.",Approved
Great oven hob/oven works well oven heats up quickly looks smart,Approved
"We are extremely satisfied with this product, Faster cooking easy cleaning and looks very smart in the kitchen, we will consider other AEG products as we will be replacing other large electrical items in a few months",Approved
"We love how this cooker cooks food to the minute of instructions on food packaging. It is spot on! 
Every cooker I have had in the past over or under cooks your food. 
Also the induction is amazing. Even when something boils over no burning or stains to the top of the cooker! 
I love this cooker well worth every penny!",Approved
"After 1.5 years WM started to take ages to finish, always started another circle. Needed specialist to reset programming (if I understand right), my usual appliance repair guy couldn't sort it reason :
being too much electronics. expensive parts, trial and error when ordering these parts tricky. In this case it was ok as I called out AEG specialist on guarantee, but if it happens outside of guarantee period I can just as well scrap wm instantly as these specialists are expensive. Teaches me to go for simpler models next time that do not require specialized programming knowledge! Most appliance specialists will not be computer experts at the same time.",Approved
"Quisque ut nunc a odio aliquet gravida in id nisi. Ut scelerisque, erat vitae accumsan rhoncus, augue neque mattis ipsum, ut tincidunt felis leo at augue. Proin vitae nulla tortor, non laoreet risus. Donec feugiat fermentum condimentum! Aliquam fringilla, enim et tempus ornare, orci justo ultrices urna, at aliquet mi sapien vel nisl. Vestibulum quis tortor at tellus vestibulum scelerisque in a nisl. Sed gravida, ante vel semper sagittis, felis lacus fermentum turpis, at scelerisque arcu posuere.",Approved
"The temperature dials need additional calibration so that you don't have to guess it between the 50 degree ones shown. The timer bleeper is far to quiet, you can barely hear it in the kitchen, even less chance if the radio is on and no chance in another room; we are having to buy a separate timer for this. The top oven does warm up quickly, less so when using the grill function. Not the best of our four Zanusi products.",Approved
The front cover by the soap dispenser is not great - already the corner has come away from the panel. 2 weeks use. Not as good as my last machine but this one is electronic which I’m not used to. Washes well so far big drum and quiet. Would have like an 1800 spin but don’t think many do now,Approved
"Quick and easy to use - and clean, but best of all cooks cakes and bread very evenly, no more lopsided cakes or soggy bottoms. Marked down one star on quality due to noise from cooling fan.",Approved
Makes cooking and baking easy. I love being able to see into my oven at eye level.,Approved
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed rhoncus scelerisque semper. Morbi in sapien sit amet justo eleifend pellentesque! Cras sollicitudin, quam in ullamcorper faucibus, augue metus blandit justo, vitae ullamcorper tellus quam non purus. Fusce gravida rhoncus placerat. Integer tempus nunc sed elit mollis ut venenatis felis volutpat. Sed a velit et lacus lobortis aliquet? Donec dolor quam, pharetra vitae commodo et, mattis quis nibh? Quisque ultrices neque et lacus volutpat.",Approved
"Sed dapibus, leo in consequat commodo; lorem justo sagittis mi, ut hendrerit enim diam nec leo! Duis vitae urna sit amet nunc fermentum cursus non quis nulla! Sed in lectus neque, a suscipit leo. Vestibulum eu arcu at lacus sagittis aliquam. Mauris sagittis nulla nisl. Nulla id imperdiet odio. Nullam erat eros, porta et lobortis sit amet, posuere vel urna. Aenean placerat nisl ac eros luctus vel tristique nisl porta. Phasellus lobortis eleifend vestibulum. Integer ut arcu sed magna orci aliquam.",Approved
"Ut sed nunc dui, et eleifend enim. Morbi non sodales justo. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc placerat, velit et porta bibendum, nulla neque gravida justo, in consectetur dui justo vitae nisl. Sed volutpat velit vitae orci faucibus congue condimentum nulla consequat. Morbi pellentesque, tortor nec fringilla elementum, dui est varius nisi, a vulputate est justo ut ipsum. Nulla sem est, facilisis in luctus ut, consectetur nec nullam.",Approved
TEST>>Staging TEST>>Staging TEST>>Staging TEST>>Staging TEST>>Staging,Approved
"Cras mattis pharetra ipsum, eget viverra leo sollicitudin vitae. Cras tincidunt accumsan odio sed porta. Suspendisse leo risus, feugiat sit amet iaculis a, lobortis sed ipsum. Nunc ultricies, est in laoreet facilisis, urna ligula auctor sapien, pretium eleifend risus lectus et diam. Nam tempus, purus in mollis gravida, metus lacus consectetur odio, ac euismod diam mauris in magna. Mauris quis justo quam, sit amet tincidunt metus. Donec vitae nisi lectus. Sed sagittis pellentesque risus sit amet.",Approved
"Aliquam facilisis quam at nisi imperdiet facilisis. In velit diam; molestie ut porta vitae, elementum ut sem. Suspendisse interdum enim vel dolor porttitor egestas. Curabitur eget leo vitae lectus consectetur faucibus molestie ut purus. Nullam nunc libero, rutrum eget commodo vitae, tincidunt id ligula. Nullam porttitor malesuada massa vel varius. Vestibulum non sodales ligula! Duis purus est, accumsan in dictum non, facilisis non nunc! Sed urna quam, fringilla sit amet aliquam at, tristique id.",Approved
"Praesent mattis ornare quam quis gravida. Pellentesque fermentum semper turpis in gravida. Sed tincidunt urna at justo ultricies rhoncus! Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec vel sapien molestie mi commodo mollis. Sed ut lorem eros, sed bibendum sem. Curabitur tempus interdum dui, tincidunt ultricies odio placerat sit amet. Morbi accumsan sem non quam cursus ullamcorper. Aliquam arcu arcu, gravida rutrum consectetur et, fringilla ut metus.",Approved
"I needed a new cooker after the last one conked out on me. After much searching and good memories of a previous AEG cooker I thought I should have another one. Great design that fits into the kitchen perfectly. A little apprehensive to start with, but after reading the manual and trying things out it has become second nature after just three weeks! A great induction cooker that I am sure will last for years. One happy customer.",Approved
"totally instant heat that you dont normally get with electric cookers,style nice modern shape plus easy to use controls even the wife can cook with it.",Approved
"Vestibulum volutpat, odio id pulvinar eleifend, orci tortor tristique turpis, ut pellentesque mi odio et felis. Ut ornare sapien quis massa lobortis at congue mi fringilla. Vestibulum viverra, purus a faucibus scelerisque; urna felis convallis nulla, ac ullamcorper nisl tellus in nisi. Vivamus rhoncus convallis nunc. Morbi dignissim nulla non diam consectetur ultrices. In ac est quam, a pulvinar odio. Nam et bibendum lorem. Aenean sit amet pellentesque erat. Nam luctus libero eu massa cras amet.",Approved
"Nam erat dolor, accumsan a venenatis ac, scelerisque vitae ligula. Aliquam tincidunt dapibus tellus at elementum. Nam magna leo, molestie ut auctor in, tincidunt vitae dui. Donec sed turpis dui. Integer congue, lorem et scelerisque sagittis, ligula quam vestibulum magna, nec consectetur eros enim a ipsum. Aliquam eleifend, neque in tristique consectetur, lorem felis faucibus tortor, a malesuada sapien dui a risus? Sed purus neque, tristique sit amet consequat et, imperdiet vitae nibh. Donec sed.",Approved
"Sed rutrum sollicitudin metus sed blandit. Proin sem elit, dapibus cursus feugiat in, porttitor vel velit. Nulla rhoncus massa eu est fringilla sit amet porttitor libero hendrerit. Vivamus quis ante libero, et scelerisque diam. Nam ultricies tellus et ligula imperdiet convallis. Integer dui nibh, sollicitudin sit amet tempor vitae, vehicula vitae diam. Etiam libero augue, cursus non lobortis vel, ullamcorper sit amet dui. Donec non metus non lacus tincidunt vehicula in at est. Pellentesque amet.",Approved
thfhfgf fg fghfghfgh dfgdfg g ghfghfgh fghd fghghdr bxdfb,Approved
"Donec laoreet vehicula nulla sit amet feugiat. Aenean eget lacus eget tortor vulputate lacinia. Integer scelerisque, nibh viverra accumsan auctor, neque erat condimentum urna, ut tempus est tortor in nunc! Mauris gravida pharetra erat eu ultricies? Nam facilisis, urna et imperdiet consectetur, ligula libero placerat sapien, quis pharetra arcu ante quis nulla. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Vestibulum ante ipsum primis in faucibus orci sed.",Approved
"Easy to use and good sized pothole, you do need to read instructions careful especially for ‘spin only’ as there is no separate programme for this. Very impressed with this machine.",Approved
"Donec laoreet vehicula nulla sit amet feugiat. Aenean eget lacus eget tortor vulputate lacinia. Integer scelerisque, nibh viverra accumsan auctor, neque erat condimentum urna, ut tempus est tortor in nunc! Mauris gravida pharetra erat eu ultricies? Nam facilisis, urna et imperdiet consectetur, ligula libero placerat sapien, quis pharetra arcu ante quis nulla. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Vestibulum ante ipsum primis in faucibus orci sed.",Approved
"Integer eu erat et urna sodales sodales. Praesent euismod pretium odio, at tempor dui dignissim sed. Donec quis tellus et urna blandit interdum. Vestibulum luctus dictum dui, eu mollis tortor volutpat quis. Praesent sem lacus, porta luctus mollis at, vestibulum a arcu. Suspendisse potenti. Morbi et erat quis ipsum sagittis venenatis? Phasellus sem lectus, feugiat vel dictum facilisis, ullamcorper a magna. Integer vitae turpis dui, vel sodales est. Nam a nisi quis felis volutpat varius quis amet.",Approved
"The display was somewhat daunting at first but the book provides a clear explanation. Excellent wash results, not my first AEG and will not be the last.",Approved
Really love my hob but unfortunately one ring and bridge function didn’t work and had to call an engineer out after two days. It needed a new circuit board ! So not a good start ! But now love it.,Approved
"Integer ut ligula vel ligula condimentum posuere. Nulla sollicitudin vehicula mauris et aliquet. Sed nibh risus, tristique sit amet tristique sed, sollicitudin et eros. In hac habitasse platea dictumst. Nam congue lectus nec mi vulputate adipiscing. Nulla facilisi. Cras eleifend fermentum egestas. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In eu lectus eget metus imperdiet tincidunt? Nam interdum urna ac mauris facilisis aliquet. Vestibulum urna amet.",Approved
"Nam ac mauris ac turpis consequat convallis! Vestibulum sit amet tellus risus! Aenean et pellentesque tellus. Sed consectetur, lacus non aliquet tristique, orci magna sodales magna, a viverra est quam id sapien. Integer nec nibh quis nisi porta auctor. Praesent laoreet bibendum mauris tempus commodo. Suspendisse sit amet tellus mi. Duis auctor feugiat neque vel cursus. Nullam aliquam, ligula id pharetra aliquet, mi lacus rhoncus nisi, sed posuere eros tellus vitae magna? Vivamus et sem at metus.",Approved
test,Approved
"Maecenas ullamcorper feugiat eros rhoncus semper. Aenean aliquet sem quis nisl tristique pharetra. Nam nec mattis mi? Curabitur ut mauris diam, id aliquam mauris. Sed eros turpis, accumsan nec tincidunt nec, mattis vel nunc? In metus purus, fringilla vitae interdum nec, tincidunt sed nulla. Etiam quis neque felis, dignissim ultricies massa. Quisque rhoncus, dolor ut condimentum consequat, justo felis congue ipsum, nec posuere mauris sem sed justo. Duis in sem nunc, ac cursus dui. Vestibulum sed.",Approved
"I love AEG products, always top quality and reliable 
Their designers should be proud. 
Ps 
I’m just love the brand and will stick with it",Approved
E-Mail sent to AEG has not yet been replied ( for more than 10 days). The alarm sounds when the door is left open does not work.,Approved
My family had AEG washer-drier since 2010. After moving to another area there was not even a question which brand to choose. Despite the fact that new washer is of lower class than I had it washes and dries perfect. Now it is even more silent. Do not jump at all!,Approved
Beautifully made with lots of added programmes. Probably too many for me!,Approved
"Brilliant cooking hob,so simple to use and quick and fast heating, well worth the money in our opinion",Approved
We are extremely pleased with the purchase of this microwave. It is easy to use and very easy to clean. We had one problem with generator plate but the service to fix it was prompt and professional,Approved
"Sed iaculis, diam at sollicitudin varius, ipsum purus tempus libero, nec faucibus arcu dui lacinia purus. Donec lacinia scelerisque imperdiet. In laoreet sapien dui! Fusce tellus metus; scelerisque sed iaculis a, commodo id enim. Praesent eu augue sed metus vestibulum interdum. Mauris orci odio, tincidunt at varius sed, vehicula at justo. Suspendisse ut mauris dui. In vitae orci id augue sodales commodo et vel odio. Pellentesque non neque in neque tempor malesuada. Curabitur consequat lectus id.",Approved
"Vivamus accumsan rhoncus orci in accumsan. Pellentesque pharetra enim velit, vitae lobortis diam. Vivamus metus tellus, elementum in sodales sed, adipiscing sit amet velit. Ut lobortis adipiscing nibh vel tincidunt. Nullam feugiat dui non justo hendrerit ac pulvinar libero vehicula. Fusce tincidunt viverra nisl ac fermentum. Nullam tristique erat a eros elementum id vehicula arcu accumsan? Ut bibendum vestibulum consectetur. Phasellus odio orci, malesuada eu pellentesque eget, euismod ac nullam.",Approved
"Excellent programmes, easy to use, very quiet spin cycle.We replaced our old AEG after some fifteen years of trouble free use. Time will tell of course if this new machine will be as good.",Approved
Good product spoilt by initial software problems that restricted available features. Two site visits eventually solved the problem now working all okay. Programs maybe a little long but does provide a good end result.,Approved
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede.

Donec nec justo eget felis facilisis fermentum. Aliquam porttitor mauris sit amet orci. Aenean dignissim pellentesque felis.",Approved
works well with even distribution of heat. easy to keep clean regularly.. a must to maintain the finish. controls work reliably.,Approved
"I wanted to change my 15 year old gas job and looked at the alternatives with price a consideration some induction hobs just plug into a socket but you are restricted by not having full power available to all the heating zones, this unit is connected to the household cooker unit and brings pans to the boil quicker than a kettle.",Approved
I love this machine. My last washing machine was anAEG and very good but this machine is excellent and is so advanced it does everything even better!,Approved
"Nam erat dolor, accumsan a venenatis ac, scelerisque vitae ligula. Aliquam tincidunt dapibus tellus at elementum. Nam magna leo, molestie ut auctor in, tincidunt vitae dui. Donec sed turpis dui. Integer congue, lorem et scelerisque sagittis, ligula quam vestibulum magna, nec consectetur eros enim a ipsum. Aliquam eleifend, neque in tristique consectetur, lorem felis faucibus tortor, a malesuada sapien dui a risus? Sed purus neque, tristique sit amet consequat et, imperdiet vitae nibh. Donec sed.",Approved
"Donec in tincidunt quam. Morbi vitae odio nec justo sodales dapibus. Aenean elementum, massa non egestas egestas; libero augue suscipit justo; sed fermentum sapien ligula ut metus. Sed imperdiet, dolor eget ultrices blandit; tellus quam tristique nibh, sed egestas nunc est at eros. Suspendisse at dolor ac dui consectetur tincidunt ac condimentum est. Suspendisse nec sem lacus! Vestibulum tempor, urna nec dignissim volutpat, mauris metus eleifend urna, elementum dictum eros mauris vel metus amet.",Approved
"Cras lectus risus, sollicitudin eu adipiscing nec, congue non lectus. Aliquam pretium metus nec magna laoreet accumsan. Sed mattis augue vitae velit interdum in ultrices augue hendrerit. Nam scelerisque metus sed felis gravida a ullamcorper justo vestibulum. Donec vitae porttitor nibh. Pellentesque eleifend felis et sem malesuada vehicula. In ac ante lorem, a vulputate nunc. Nam eleifend; lorem et hendrerit imperdiet, nunc nulla faucibus diam, ultrices convallis nunc enim eget ante. Cras nullam.",Approved
"Early days to comment as only when it came to writing this did we solve one problem we have had.

The 'Manual' that came with the cooker is totally inadequate.
We followed the instructions to thoroughly clean the cooker before use. When it came to replacing the glass panels of the main oven we found there were three slots for the two panels. The manual although claiming to be for the 47102V-MN says there are variations in models and there may be two or three panels. Are we one short as delivered? And if not, which slot is not used? The manual drawing is not clear.

The main oven door catch doesn't work correctly frequently leaving the door loose with a gap on the right hand side between the glass and the seal. There doesn't appear to be any adjustment possible.

With regard to the top oven.
The shelf positions in the drawing in the manual differ from those in the oven causing confusion as the shelves can fit in four positions not three. 

The major drawback is the lack of a control for the grill. Choosing a shelf to control heat is not a satisfactory answer.",Approved
"It look good and I admit I think you may need an A level in what is can do, not cant do. Our Christmas dinner was cooked perfectly and that was four different meats and all the trimmings",Approved
A very efficient dishwasher with excellent features,Approved
Unable to get fixed as they will not come out without agreement to pay £90,Rejected
"Not had an AEG before, but have been really impressed with the quality of the machine. The options are great giving the ability to eco wash on low power and water, and also low noise settings. Really impressed with the wash quality which is far better than my old machine.",Approved
"Nice and clever to work with, quick and plenty of power. Cut of sometimes so need to get use to how to operate properly.",Approved
"This product is fantastic one of the best ovens and induction jobs I've ever used. Quick, clean and just fantastic",Approved
Both washer and dryer are very quiet. I love the steam function,Approved
"Sleek design, big drum which calculates the load size and adjust the washing cycle time automatically. The spin speed is also amazing with little drying time needed. Fantastic product by AEG",Approved
"First one lost time on the clock and oven kept cutting out so we had a replacement cooker. That one had the same fault! I then spent £60 and got my power supply checked out, but that was OK. Engineer visited again and spare control unit on order, now waiting for the repair to be done. Consequently, am not happy with the build quality.",Approved
"Looks nice and cooks well, only issue is the knobs push in when not in use and one of mine sometimes will not come back out again so I have to leave them in the out possition all the time.",Approved
It looks good and has impressive feature; and does an excellent job.,Approved
"Bought this 3 weeks ago when my old oven expired. Very pleased with features, not tested cleaning feature yet.
Not sure about the usefulness of the ""count up"" feature, it makes minute minder a bit fiddly to set when oven is on. Also, ""true"" fan cooking, is obviously fan cooking, so why not call it that.
Heats up very quickly, and seems very efficient.",Approved
"I bought this hob to replace a gas one and I am delighted with it. It heats up rapidly but also maintains a low heat when required. I love the added facility to heat up rapidly and automatically turn down to the chosen cooking temperature.
It is very easy to clean and it looks fantastic too.",Approved
"Pellentesque condimentum tortor nec sapien hendrerit nec hendrerit velit adipiscing. Morbi in dui ac odio scelerisque dictum id sed elit. Aenean iaculis cursus quam luctus posuere? Ut cursus, dolor vel dapibus mattis, mauris eros dignissim urna, ac commodo tellus sem ut orci. Sed mollis, nulla at condimentum venenatis, augue massa malesuada ante, pretium egestas massa est in enim. Nullam non libero nec ipsum aliquet ultricies eu at ante. Integer massa diam, vulputate vel hendrerit quis volutpat.",Approved
"Nulla nulla odio, euismod eget volutpat sit amet, porttitor ut mi. Phasellus porta accumsan placerat. Nunc et eros eros. Duis vehicula dapibus dolor, sit amet porta purus laoreet quis. Donec auctor risus eu urna congue accumsan. Vivamus quam leo, consectetur ut rutrum nec, gravida in nisl. Proin vel faucibus lorem. Fusce rutrum risus vitae urna lacinia pulvinar. Duis quis ligula nisi. Fusce id turpis eu metus rutrum aliquet id eu eros. Etiam faucibus, nisl at vestibulum blandit, arcu orci metus.",Approved
"Ut sit amet erat ac sapien faucibus congue. Sed sit amet urna justo. Aenean ultrices suscipit velit, nec luctus tellus pellentesque et. Ut commodo urna ut nisl pellentesque ultrices tempor lectus fermentum. Aliquam scelerisque, libero et varius porttitor, arcu metus consectetur ligula, et sodales elit augue quis dui! Integer pharetra urna ligula, in vestibulum lectus. Duis sed enim ac metus facilisis lobortis. Fusce ut mauris sed arcu malesuada faucibus. Aliquam erat volutpat. Mauris non nullam.",Approved
"Donec ac rhoncus sapien. Donec vitae dui eu tortor fermentum imperdiet in vitae ipsum. Suspendisse vitae sodales augue. Integer eros enim, ornare sed egestas nec, mattis vitae purus. In hac habitasse platea dictumst. Integer vitae leo ut nisi mollis laoreet a mattis nulla. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam felis mauris, feugiat a vestibulum eu, fringilla quis tortor. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Morbi amet.",Approved
it took a long time to choose an oven very happy with this one very easy to use,Approved
"Excellent machine, very easy to operate weighs the load does the most economic wash, spins fast, and quiet!",Approved
"We chose carefully and have no regrets. Once you get used to it the range of options is excellent. It seems to weigh the load at the beginning and then adjust its timing substantially down. It's very quiet, even its final spin. The steam option seems to work well.",Approved
Nice designed easy clean love it take a time for use to.,Approved
